epoch,step,test_Energy_MAE,test_Energy_RMSE,test_Force_MAE,test_Force_RMSE,test_Magmom_MAE,test_Magmom_RMSE,test_Stress_MAE,test_Stress_RMSE,test_Total_Loss,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
39,7319,,,,,,,,,,0.014572092331945896,0.020450280979275703,0.1112837865948677,0.16460630297660828,0.0,0.0,0.0,0.0,0.027809444814920425,,,,,,,,,
40,7502,,,,,,,,,,,,,,,,,,,0.013223670423030853,0.01994221657514572,0.11254210770130157,0.16457599401474,0.0,0.0,0.0,0.0,0.027698339894413948
40,7502,,,,,,,,,,0.014374075457453728,0.020362338051199913,0.11027220636606216,0.16349801421165466,0.0,0.0,0.0,0.0,0.027444420382380486,,,,,,,,,
41,7685,,,,,,,,,,,,,,,,,,,0.012876829132437706,0.018612127751111984,0.10989761352539062,0.16246813535690308,0.0,0.0,0.0,0.0,0.026957299560308456
41,7685,,,,,,,,,,0.0128868967294693,0.018950698897242546,0.10957573354244232,0.1624399572610855,0.0,0.0,0.0,0.0,0.027021992951631546,,,,,,,,,
42,7868,,,,,,,,,,,,,,,,,,,0.011660338379442692,0.017306461930274963,0.1100882887840271,0.1623098999261856,0.0,0.0,0.0,0.0,0.02684907242655754
42,7868,,,,,,,,,,0.01332375779747963,0.019413640722632408,0.10857558995485306,0.16133320331573486,0.0,0.0,0.0,0.0,0.026677420362830162,,,,,,,,,
43,8051,,,,,,,,,,,,,,,,,,,0.015091350302100182,0.020001044496893883,0.1085839718580246,0.1609903872013092,0.0,0.0,0.0,0.0,0.026523008942604065
43,8051,,,,,,,,,,0.012516963295638561,0.018264388665556908,0.10820893198251724,0.16078588366508484,0.0,0.0,0.0,0.0,0.026452766731381416,,,,,,,,,
44,8234,,,,,,,,,,,,,,,,,,,0.012516622431576252,0.01797434315085411,0.10955070704221725,0.16129718720912933,0.0,0.0,0.0,0.0,0.026539476588368416
44,8234,,,,,,,,,,0.01309738215059042,0.018822673708200455,0.1077079251408577,0.16015300154685974,0.0,0.0,0.0,0.0,0.02630787342786789,,,,,,,,,
45,8417,,,,,,,,,,,,,,,,,,,0.013469655066728592,0.019213521853089333,0.10869619995355606,0.1603546440601349,0.0,0.0,0.0,0.0,0.02627965435385704
45,8417,,,,,,,,,,0.011926164850592613,0.01765795424580574,0.10731489956378937,0.15976841747760773,0.0,0.0,0.0,0.0,0.026072394102811813,,,,,,,,,
46,8600,,,,,,,,,,,,,,,,,,,0.01209395844489336,0.017858674749732018,0.10796024650335312,0.15984611213207245,0.0,0.0,0.0,0.0,0.02607876807451248
